   5.7043E+00   5.8042E+00   0.0000E+00  0.0000
   5.8042E+00   5.9041E+00   0.0000E+00  0.0000
   5.9041E+00   6.0040E+00   0.0000E+00  0.0000
   6.0040E+00   6.1039E+00   0.0000E+00  0.0000
   6.1039E+00   6.2038E+00   0.0000E+00  0.0000
   6.2038E+00   6.3037E+00   0.0000E+00  0.0000
   6.3037E+00   6.4036E+00   0.0000E+00  0.0000
   6.4036E+00   6.5035E+00   0.0000E+00  0.0000
   6.5035E+00   6.6034E+00   0.0000E+00  0.0000
   6.6034E+00   6.7033E+00   0.0000E+00  0.0000
   6.7033E+00   6.8032E+00   0.0000E+00  0.0000
   6.8032E+00   6.9031E+00   0.0000E+00  0.0000
   6.9031E+00   7.0030E+00   0.0000E+00  0.0000
   7.0030E+00   7.1029E+00   0.0000E+00  0.0000
   7.1029E+00   7.2028E+00   0.0000E+00  0.0000
   7.2028E+00   7.3027E+00   0.0000E+00  0.0000
   7.3027E+00   7.4026E+00   0.0000E+00  0.0000
   7.4026E+00   7.5025E+00   0.0000E+00  0.0000
   7.5025E+00   7.6024E+00   0.0000E+00  0.0000
   7.6024E+00   7.7023E+00   0.0000E+00  0.0000
   7.7023E+00   7.8022E+00   0.0000E+00  0.0000
   7.8022E+00   7.9021E+00   0.0000E+00  0.0000
   7.9021E+00   8.0020E+00   0.0000E+00  0.0000
   8.0020E+00   8.1019E+00   0.0000E+00  0.0000
   8.1019E+00   8.2018E+00   0.0000E+00  0.0000
   8.2018E+00   8.3017E+00   0.0000E+00  0.0000
   8.3017E+00   8.4016E+00   0.0000E+00  0.0000
   8.4016E+00   8.5015E+00   0.0000E+00  0.0000
   8.5015E+00   8.6014E+00   0.0000E+00  0.0000
   8.6014E+00   8.7013E+00   0.0000E+00  0.0000
   8.7013E+00   8.8012E+00   0.0000E+00  0.0000
   8.8012E+00   8.9011E+00   0.0000E+00  0.0000
   8.9011E+00   9.0010E+00   0.0000E+00  0.0000
   9.0010E+00   9.1009E+00   0.0000E+00  0.0000
   9.1009E+00   9.2008E+00   0.0000E+00  0.0000
   9.2008E+00   9.3007E+00   0.0000E+00  0.0000
   9.3007E+00   9.4006E+00   0.0000E+00  0.0000
   9.4006E+00   9.5005E+00   0.0000E+00  0.0000
   9.5005E+00   9.6004E+00   0.0000E+00  0.0000
   9.6004E+00   9.7003E+00   0.0000E+00  0.0000
   9.7003E+00   9.8002E+00   0.0000E+00  0.0000
   9.8002E+00   9.9001E+00   0.0000E+00  0.0000
   9.9001E+00   1.0000E+01   0.0000E+00  0.0000

#   sum over                 5.2000E-06  0.1387

'no. =  1,  reg  =   2033'
msuc: {\huge Pos 3 Fast}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+07 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+07 # Total history number or Total batch number
# maxcas =       50000 # History / Batch, only used for istdev=1
# bitrseed = 1000110000001000111111101100101001110101110010000011011101101000 # bit data of rseed
